Zone Name,Lat,Long,Distance,Unit,Band(2m;1.25m;70cm),Use,Operational Status
A-Longview WA,46.13819885,-122.93800354,50,miles,2m;70cm,OPEN,On-Air
A-Olympia WA,47.03789902,-122.90100098,50,miles,2m;70cm,OPEN,On-Air
A-Packwood WA,46.60649872,-121.67099762,50,miles,2m;70cm,OPEN,On-Air
A-Kennewick WA,46.21125,-119.13723,50,miles,2m;70cm,OPEN,On-Air
A-Spokane WA,47.658779,-117.426048,50,miles,2m;70cm,OPEN,On-Air
A-Ellensburg WA,46.999619,-120.548851,50,miles,2m;70cm,OPEN,On-Air
A-Cle Elum WA,47.243279,-121.064789,50,miles,2m;70cm,OPEN,On-Air
A-Ritzville WA,47.125832,-118.376953,50,miles,2m;70cm,OPEN,On-Air
A-Wenatchee WA,47.429829,-120.324699,50,miles,2m;70cm,OPEN,On-Air
A-Chewelah WA,48.280891,-117.723679,50,miles,2m;70cm,OPEN,On-Air
A-Yakima WA,46.602230,-120.506088,50,miles,2m;70cm,OPEN,On-Air
A-Portland OR,45.512230,-122.658722,50,miles,2m;70cm,OPEN,On-Air
A-Sequim WA,48.079536,-123.101850,50,miles,2m;70cm,OPEN,On-Air
A-Bellingham WA,48.754902,-122.478119,50,miles,2m;70cm,OPEN,On-Air